VCD info: dumpfile dump.vcd opened for output.

 FIR FILTER VERIFICATION 

[TEST 1] Impulse Response Test
 OK @ 135000 | y=   192
 OK @ 145000 | y=   384
 OK @ 155000 | y=   768
 OK @ 165000 | y=  1536
 OK @ 175000 | y=  3072
 OK @ 185000 | y=  6144
 OK @ 195000 | y=  8192
 OK @ 205000 | y=  6144
 OK @ 215000 | y=  3072
 OK @ 225000 | y=  1536
 OK @ 235000 | y=   768

[TEST 2] Step Response Test
 OK @ 245000 | y=   384
 OK @ 255000 | y=   192
 OK @ 265000 | y=    96
 OK @ 275000 | y=    32
 OK @ 285000 | y=     0
 OK @ 295000 | y=     0
 OK @ 305000 | y=     0
 OK @ 315000 | y=     0
 OK @ 325000 | y=     0
 OK @ 335000 | y=    16
 OK @ 345000 | y=    48
 OK @ 355000 | y=   112
 OK @ 365000 | y=   240
 OK @ 375000 | y=   496
 OK @ 385000 | y=  1008
 OK @ 395000 | y=  2032
 OK @ 405000 | y=  4080
 OK @ 415000 | y=  6128
 OK @ 425000 | y=  7152
 OK @ 435000 | y=  7664
 OK @ 445000 | y=  7920
 OK @ 455000 | y=  8048
 OK @ 465000 | y=  8112
 OK @ 475000 | y=  8144
 OK @ 485000 | y=  8160
 OK @ 495000 | y=  8160
 OK @ 505000 | y=  8160
 OK @ 515000 | y=  8160
 OK @ 525000 | y=  8160
 OK @ 535000 | y=  8160
 OK @ 545000 | y=  8160
 OK @ 555000 | y=  8160
 OK @ 565000 | y=  8160
 OK @ 575000 | y=  8160
 OK @ 585000 | y=  8160
 OK @ 595000 | y=  8160
 OK @ 605000 | y=  8160
 OK @ 615000 | y=  8160
 OK @ 625000 | y=  8160
 OK @ 635000 | y=  8144
 OK @ 645000 | y=  8112
 OK @ 655000 | y=  8048
 OK @ 665000 | y=  7920
 OK @ 675000 | y=  7664
 OK @ 685000 | y=  7152
 OK @ 695000 | y=  6128
 OK @ 705000 | y=  4080
 OK @ 715000 | y=  2032
 OK @ 725000 | y=  1008
 OK @ 735000 | y=   496

[TEST 3] Edge Case - Maximum Positive Input
 OK @ 745000 | y=   240
 OK @ 755000 | y=   112
 OK @ 765000 | y=    48
 OK @ 775000 | y=    16
 OK @ 785000 | y=     0
 OK @ 795000 | y=     0
 OK @ 805000 | y=     0
 OK @ 815000 | y=     0
 OK @ 825000 | y=     0
 OK @ 835000 | y=     0
 OK @ 845000 | y=     0
 OK @ 855000 | y=    64
 OK @ 865000 | y=   192
 OK @ 875000 | y=   448
 OK @ 885000 | y=   960
 OK @ 895000 | y=  1984
 OK @ 905000 | y=  4032
 OK @ 915000 | y=  8128
 OK @ 925000 | y= 16320
 OK @ 935000 | y= 24511
 OK @ 945000 | y= 28607
 OK @ 955000 | y= 30655
 OK @ 965000 | y= 31679
 OK @ 975000 | y= 32191
 OK @ 985000 | y= 32447
 OK @ 995000 | y= 32575
 OK @ 1005000 | y= 32639
 OK @ 1015000 | y= 32639
 OK @ 1025000 | y= 32639
 OK @ 1035000 | y= 32639
 OK @ 1045000 | y= 32639
 OK @ 1055000 | y= 32575
 OK @ 1065000 | y= 32447
 OK @ 1075000 | y= 32191
 OK @ 1085000 | y= 31679
 OK @ 1095000 | y= 30655
 OK @ 1105000 | y= 28607
 OK @ 1115000 | y= 24511
 OK @ 1125000 | y= 16320
 OK @ 1135000 | y=  8128
 OK @ 1145000 | y=  4032
 OK @ 1155000 | y=  1984

[TEST 4] Edge Case - Maximum Negative Input
 OK @ 1165000 | y=   960
 OK @ 1175000 | y=   448
 OK @ 1185000 | y=   192
 OK @ 1195000 | y=    64
 OK @ 1205000 | y=     0
 OK @ 1215000 | y=     0
 OK @ 1225000 | y=     0
 OK @ 1235000 | y=     0
 OK @ 1245000 | y=     0
 OK @ 1255000 | y=   -64
 OK @ 1265000 | y=  -192
 OK @ 1275000 | y=  -448
 OK @ 1285000 | y=  -960
 OK @ 1295000 | y= -1984
 OK @ 1305000 | y= -4032
 OK @ 1315000 | y= -8128
 OK @ 1325000 | y=-16320
 OK @ 1335000 | y=-24512
 OK @ 1345000 | y=-28608
 OK @ 1355000 | y=-30656
 OK @ 1365000 | y=-31680
 OK @ 1375000 | y=-32192
 OK @ 1385000 | y=-32448
 OK @ 1395000 | y=-32576
 OK @ 1405000 | y=-32640
 OK @ 1415000 | y=-32640
 OK @ 1425000 | y=-32640
